dataset,Descriptor,Model,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
cyp2c9,Morgan,vNN,0.6992202780221948,0.4432552881159263,0.8934486401593194,0.444611111111111,0.9538294449332784,0.6506175372381012,0.5657034442570299,0.4971089442563827,0.4429534678585707,0.4385561661832998
cyp2c19,Mordred,Bayesian,0.743,0.44,0.692,0.619,0.709,0.662,0.33,0.43,0.268,0.245
cyp2c19,Mordred,KNN,0.793,0.495,0.843,0.504,0.922,0.681,0.6,0.547,0.456,0.453
cyp2c19,Mordred,LightGBM,0.873,0.68,0.872,0.499,0.958,0.691,0.734,0.593,0.534,0.52
cyp2c19,Mordred,LogisticRegression,0.842,0.588,0.788,0.762,0.794,0.777,0.461,0.574,0.469,0.444
cyp2c19,Mordred,RandomForest,0.867,0.654,0.86,0.597,0.921,0.741,0.636,0.616,0.531,0.53
cyp2c19,Mordred,XGBoost,0.873,0.68,0.871,0.491,0.959,0.685,0.735,0.588,0.53,0.515
cyp2c19,Morgan,Bayesian,0.805,0.54,0.817,0.577,0.873,0.709,0.513,0.542,0.43,0.429
cyp2c19,Morgan,KNN,0.776,0.491,0.849,0.44,0.944,0.644,0.644,0.522,0.448,0.437
cyp2c19,Morgan,LightGBM,0.852,0.643,0.862,0.498,0.946,0.686,0.681,0.574,0.503,0.494
cyp2c19,Morgan,LogisticRegression,0.848,0.621,0.814,0.714,0.837,0.773,0.503,0.59,0.487,0.474
cyp2c19,Morgan,RandomForest,0.854,0.645,0.851,0.586,0.912,0.731,0.608,0.596,0.505,0.505
cyp2c19,Morgan,XGBoost,0.858,0.657,0.863,0.492,0.949,0.683,0.692,0.574,0.506,0.496
cyp2c19,Morgan,vNN,0.7097062012333936,0.6073214099252049,0.8549268292682928,0.4770025376921928,0.9424098647745944,0.6701964887804804,0.6582818206863305,0.5526215404743366,0.4776956724442754,0.468734307371346
cyp3a4,Mordred,Bayesian,0.801,0.527,0.695,0.814,0.659,0.732,0.422,0.556,0.402,0.358
cyp3a4,Mordred,KNN,0.88,0.705,0.849,0.585,0.93,0.737,0.72,0.645,0.555,0.551
cyp3a4,Mordred,LightGBM,0.93,0.827,0.882,0.66,0.95,0.792,0.802,0.724,0.655,0.65
cyp3a4,Mordred,LogisticRegression,0.917,0.784,0.834,0.851,0.828,0.84,0.603,0.706,0.612,0.594
cyp3a4,Mordred,RandomForest,0.917,0.795,0.867,0.695,0.92,0.799,0.726,0.71,0.624,0.623
cyp3a4,Mordred,XGBoost,0.931,0.828,0.882,0.665,0.949,0.794,0.801,0.726,0.657,0.652
cyp3a4,Morgan,Bayesian,0.875,0.728,0.829,0.673,0.877,0.768,0.626,0.649,0.537,0.536
cyp3a4,Morgan,KNN,0.834,0.651,0.86,0.573,0.948,0.737,0.771,0.658,0.582,0.572
cyp3a4,Morgan,LightGBM,0.913,0.805,0.879,0.655,0.948,0.788,0.793,0.717,0.646,0.641
cyp3a4,Morgan,LogisticRegression,0.916,0.807,0.852,0.8,0.868,0.833,0.65,0.717,0.625,0.619
cyp3a4,Morgan,RandomForest,0.912,0.805,0.876,0.627,0.952,0.773,0.801,0.703,0.634,0.626
cyp3a4,Morgan,XGBoost,0.922,0.82,0.883,0.664,0.95,0.794,0.804,0.727,0.659,0.654
cyp3a4,Morgan,vNN,0.7804360993159147,0.7573649518668334,0.8642534360591534,0.622631199884765,0.9382409987470646,0.7641386638418587,0.7555090993554426,0.6823569792152497,0.6018151002654105,0.5971037716431988
