dataset,Descriptor,Model,Repeat,Fold,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
bbb,Morgan,RandomForest,1,3,0.946704067321178,0.9674725267704394,0.9074074074074074,0.8709677419354839,0.9565217391304348,0.9127428878072056,0.9642857142857144,0.9152542372881356,0.8189201495282816,0.8137931034482758
bbb,Morgan,RandomForest,1,4,0.9303977272727272,0.9539727921002756,0.8518518518518519,0.90625,0.7727272727272727,0.8368297861029392,0.8529411764705882,0.8787878787878788,0.6908553270314275,0.6887608069164265
bbb,Morgan,RandomForest,1,5,0.9446022727272728,0.9642074456582004,0.8518518518518519,0.90625,0.7727272727272727,0.8368297861029392,0.8529411764705882,0.8787878787878788,0.6908553270314275,0.6887608069164265
bbb,Morgan,RandomForest,2,1,0.8934081346423564,0.9220905269222806,0.7962962962962963,0.8064516129032258,0.782608695652174,0.7944407119985641,0.8333333333333334,0.819672131147541,0.5861898270389748,0.5857740585774058
bbb,Morgan,RandomForest,2,2,0.9130434782608696,0.9312876379399442,0.8518518518518519,0.935483870967742,0.7391304347826086,0.8315314788271727,0.8285714285714286,0.8787878787878788,0.6985371191755261,0.6901004304160688
bbb,Morgan,RandomForest,2,3,0.967741935483871,0.9769413669319478,0.9444444444444444,0.967741935483871,0.9130434782608696,0.9399949270251938,0.9375,0.9523809523809524,0.8863975545774782,0.8857545839210155
bbb,Morgan,RandomForest,2,4,0.9403409090909092,0.9637130689009774,0.8518518518518519,0.84375,0.8636363636363636,0.8536352744692443,0.9,0.8709677419354839,0.6994823573056137,0.6974789915966386
bbb,Morgan,RandomForest,2,5,0.9772727272727272,0.9874263208659309,0.9444444444444444,0.90625,1.0,0.9519716382329886,1.0,0.9508196721311476,0.8930285549745876,0.8873435326842838
bbb,Morgan,RandomForest,3,1,0.9635343618513325,0.9731982760619364,0.8703703703703703,0.8709677419354839,0.8695652173913043,0.8702661971241572,0.9,0.8852459016393442,0.7369243539918541,0.7364016736401674
bbb,Morgan,RandomForest,3,2,0.8737727910238429,0.8844941914461798,0.7962962962962963,0.7741935483870968,0.8260869565217391,0.7997194458970361,0.8571428571428571,0.8135593220338984,0.5940641084713636,0.5903448275862069
